; ssp119 from hector_ceds
; commit 974baa6bb37488c
; date Thu Oct 17 13:14:24 2024
; UNITS:, Tg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Tg CO, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg N, Tg, Tg NMVOC, Tg N, Tg, W/m2, Gg, Gg S, W/m2, Pg C/yr, Pg C/yr, Gg, Gg, Gg, Pg C/yr, Pg C/yr
Date,BC_emissions,C2F6_emissions,CCl4_emissions,CF4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4_emissions,CO_emissions,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC23_emissions,HFC245fa_emissions,HFC32_emissions,HFC4310_emissions,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,RF_albedo,SF6_emissions,SO2_emissions,SV,daccs_uptake,ffi_emissions,halon1211_emissions,halon1301_emissions,halon2402_emissions,luc_emissions,luc_uptake
1745,2.10086952502433,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,19.0197831178096,348.399852326039,0,0,0,0,0,0,0,0,0,0,0,0.0547513922797844,6.62122865474476,60.8506106380449,1.88102120393749,15.4562252999692,0,0,1168.60144914969,0.18574567415812,0,0.00241058646619818,0.0077232726,0,0,0.0811760088653402,0
1746,2.10086952502433,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,19.0197831178096,348.399852326039,0,0,0,0,0,0,0,0,0,0,0,0.0547513922797844,6.62122865474476,60.8506106380449,1.88102120393749,15.4562252999692,0,0,1168.60144914969,0.18574567415812,0,0.00241058646619818,0.0077232726,0,0,0.0811760088653402,0
1747,2.10086952502433,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,19.0197831178096,348.399852326039,0,0,0,0,0,0,0,0,0,0,0,0.0547513922797844,6.62122865474476,60.8506106380449,1.88102120393749,15.4562252999692,0,0,1168.60144914969,0.18574567415812,0,0.00241058646619818,0.0077232726,0,0,0.0811760088653402,0
1748,2.10086952502433,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,19.0197831178096,348.399852326039,0,0,0,0,0,0,0,0,0,0,0,0.0547513922797844,6.62122865474476,60.8506106380449,1.88102120393749,15.4562252999692,0,0,1168.60144914969,0.18574567415812,0,0.00241058646619818,0.0077232726,0,0,0.0811760088653402,0
1749,2.10086952502433,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,19.0197831178096,348.399852326039,0,0,0,0,0,0,0,0,0,0,0,0.0547513922797844,6.62122865474476,60.8506106380449,1.88102120393749,15.4562252999692,0,0,1168.60144914969,0.18574567415812,0,0.00241058646619818,0.0077232726,0,0,0.0811760088653402,0
1750,2.10086952502433,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,19.0197831178096,348.399852326039,0,0,0,0,0,0,0,0,0,0,0,0.0547513922797844,6.62122865474476,60.8506106380449,1.88102120393749,15.4562252999692,0,0,1168.60144914969,0.18574567415812,0,0.00241058646619818,0.0077232726,0,0,0.0811760088653402,0
1751,2.07609753070367,0,0.024856862,0.010071225,0,0,0,0,0,105.1072,0,4276.7685,18.9151088699315,343.798325552793,0,0,0,0,0,0,0,0,0,0,0,0.0557857699998348,6.55257242552393,59.9198602146818,1.86030845455884,15.1974539731385,-2.29457254754928e-4,0,1151.46319282091,0.185756746051751,0,0.00241085118224711,0.0077232726,0,0,0.0826694136262756,0
1752,2.06755614415979,0,0.024856862,0.010071225,0,0,0,0,0,105.12502,0,4277.7049,18.8897118118868,341.680442573747,0,0,0,0,0,0,0,0,0,0,0,0.056839689456144,6.51080449431608,59.4666804242928,1.86067262266544,15.043392669105,-4.58914509509855e-4,0,1144.91467545428,0.185760471582431,0,0.00241203247867731,0.0077232726,0,0,0.0841902927335253,0
1753,2.07526748261072,0,0.024856862,0.010071225,0,0,0,0,0,105.10373,0,4276.586,19.1213772311719,343.546329594158,0,0,0,0,0,0,0,0,0,0,0,0.0579135198363392,6.57165378878091,59.863982316607,1.85282857836109,15.1916418428044,-6.88371764264782e-4,0,1150.92774516398,0.18576171690695,0,0.00241229719472624,0.0077232726,0,0,0.0857391516359303,0
1754,2.10273918068607,0,0.024856862,0.010071225,0,0,0,0,0,105.07356,0,4274.9998,19.5090610650158,349.685948856956,0,0,0,0,0,0,0,0,0,0,0,0.0590076373028374,6.70429782571751,61.1105275535264,1.86702024838866,15.5680491284744,-9.1782901901971e-4,0,1175.76903301219,0.185762135640938,0,0.00241347849115643,0.0077232726,0,0,0.0873165050811343,0
